Task name,Description,Custom Field [text] [company name],Custom Field [text] [VAT],Custom Field [text] [company type],Custom Field [text] [name code]
HLEKTR-IK-997945805,"ΗΛΕΚΤΡΟΔΥΝΑΜΙΚΗ ΙΚΕ
VAT: 997945805
Type: IK
NameCode: HLEKTR
Company folder: HLEKTR-IK-997945805",ΗΛΕΚΤΡΟΔΥΝΑΜΙΚΗ ΙΚΕ,997945805,IK,HLEKTR
HLIOPA-AE-998101890,"ΗΛΙΟΠΟΥΛΟΣ ΑΝΤΩΝΗΣ ΑΕ
VAT: 998101890
Type: AE
NameCode: HLIOPA
Company folder: HLIOPA-AE-998101890",ΗΛΙΟΠΟΥΛΟΣ ΑΝΤΩΝΗΣ ΑΕ,998101890,AE,HLIOPA
LPANEE-EE-998138950,"Λ.ΠΑΝΑΓΑΚΟΣ & ΣΙΑ ΕΕ ( ΜΗΤΣΟΠΟΥΛΟΥ )
VAT: 998138950
Type: EE
NameCode: LPANEE
Company folder: LPANEE-EE-998138950",Λ.ΠΑΝΑΓΑΚΟΣ & ΣΙΑ ΕΕ ( ΜΗΤΣΟΠΟΥΛΟΥ ),998138950,EE,LPANEE
LPANOE-OE-998171737,"Λ.ΠΑΝΑΓΑΚΟΣ & ΣΙΑ ΟΕ
VAT: 998171737
Type: OE
NameCode: LPANOE
Company folder: LPANOE-OE-998171737",Λ.ΠΑΝΑΓΑΚΟΣ & ΣΙΑ ΟΕ,998171737,OE,LPANOE
LEOGIA-IK-802134614,"ΛΕΩΜΕΛ ΒΙΟΜΑΖΑ ΓΙΑΝΝΙΤΣΩΝ ΙΚΕ
VAT: 802134614
Type: IK
NameCode: LEOGIA
Company folder: LEOGIA-IK-802134614",ΛΕΩΜΕΛ ΒΙΟΜΑΖΑ ΓΙΑΝΝΙΤΣΩΝ ΙΚΕ,802134614,IK,LEOGIA
LEOLAK-IK-802135149,"ΛΕΩΜΕΛ ΒΙΟΜΑΖΑ ΛΑΚΩΝΙΑΣ ΙΚΕ
VAT: 802135149
Type: IK
NameCode: LEOLAK
Company folder: LEOLAK-IK-802135149",ΛΕΩΜΕΛ ΒΙΟΜΑΖΑ ΛΑΚΩΝΙΑΣ ΙΚΕ,802135149,IK,LEOLAK
LEOPEL-IK-802135113,"ΛΕΩΜΕΛ ΒΙΟΜΑΖΑ ΠΕΛΛΑΣ ΙΚΕ
VAT: 802135113
Type: IK
NameCode: LEOPEL
Company folder: LEOPEL-IK-802135113",ΛΕΩΜΕΛ ΒΙΟΜΑΖΑ ΠΕΛΛΑΣ ΙΚΕ,802135113,IK,LEOPEL
LEOPAN-IK-801677360,"ΛΕΩΝ.ΠΑΝ ΜΟΝ ΙΚΕ
VAT: 801677360
Type: IK
NameCode: LEOPAN
Company folder: LEOPAN-IK-801677360",ΛΕΩΝ.ΠΑΝ ΜΟΝ ΙΚΕ,801677360,IK,LEOPAN
PANLEO-EE-093840377,"ΠΑΝΑΓΑΚΟΣ Λ ΣΙΑ ΕΕ
VAT: 093840377
Type: EE
NameCode: PANLEO
Company folder: PANLEO-EE-093840377",ΠΑΝΑΓΑΚΟΣ Λ ΣΙΑ ΕΕ,093840377,EE,PANLEO
STAPAN-IK-800907380,"ΣΤΑΜΑΤΙΑ ΠΑΝΑΓΑΚΟΥ ΤΟΥΡΙΣΤΙΚΗ ΜΟΝΟΠΡΟΣΩΠΗ ΙΚΕ
VAT: 800907380
Type: IK
NameCode: STAPAN
Company folder: STAPAN-IK-800907380",ΣΤΑΜΑΤΙΑ ΠΑΝΑΓΑΚΟΥ ΤΟΥΡΙΣΤΙΚΗ ΜΟΝΟΠΡΟΣΩΠΗ ΙΚΕ,800907380,IK,STAPAN
PHOSDT-MIK-803155402,"PHOS DATASYSTEMS ΜΟΝΟΠΡΟΣΩΠΗ ΙΚΕ
VAT: 803155402
Type: MIK
NameCode: PHOSDT
Company folder: PHOSDT-MIK-803155402",PHOS DATASYSTEMS ΜΟΝΟΠΡΟΣΩΠΗ ΙΚΕ,803155402,MIK,PHOSDT
