original,sanitized
[Hliatoras 474kWp Andravida] PCC PCC total power factor (-),hlia_andr__474kwp__pcc_tota_powe_fact__u_num
[Hliatoras 474kWp Andravida] PCC PCC voltage of L1-L2 (Vac),hlia_andr__474kwp__pcc_volt_of_l1_l2__u_vac
[Hliatoras 474kWp Andravida] PCC PCC voltage of L2-L3 (Vac),hlia_andr__474kwp__pcc_volt_of_l2_l3__u_vac
[Hliatoras 474kWp Andravida] PCC PCC voltage of L3-L1 (Vac),hlia_andr__474kwp__pcc_volt_of_l3_l1__u_vac
[Hliatoras 474kWp Andravida] PCC Production active energy export (kWh),hlia_andr__474kwp__pcc_prod_acti_ener_expo__u_kwh
[Hliatoras 474kWp Andravida] PCC Production active energy import (kWh),hlia_andr__474kwp__pcc_prod_acti_ener_impo__u_kwh
[Hliatoras 474kWp Andravida] PCC Production apparent energy (kVAh),hlia_andr__474kwp__pcc_prod_appa_ener__u_kvah
[Hliatoras 474kWp Andravida] PCC Production current of phase L1 (A),hlia_andr__474kwp__pcc_prod_curr_of_phas_l1__u_a
[Hliatoras 474kWp Andravida] PCC Production current of phase L2 (A),hlia_andr__474kwp__pcc_prod_curr_of_phas_l2__u_a
[Hliatoras 474kWp Andravida] PCC Production current of phase L3 (A),hlia_andr__474kwp__pcc_prod_curr_of_phas_l3__u_a
[Hliatoras 474kWp Andravida] PCC Production frequency (Hz),hlia_andr__474kwp__pcc_prod_freq__u_hz
[Hliatoras 474kWp Andravida] PCC Production reactive energy export (kVArh),hlia_andr__474kwp__pcc_prod_reac_ener_expo__u_kvarh
[Hliatoras 474kWp Andravida] PCC Production reactive energy import (kVArh),hlia_andr__474kwp__pcc_prod_reac_ener_impo__u_kvarh
[Hliatoras 474kWp Andravida] PCC Production total power factor (-),hlia_andr__474kwp__pcc_prod_tota_powe_fact__u_num
[Hliatoras 474kWp Andravida] PCC Production voltage of L1-L2 (Vac),hlia_andr__474kwp__pcc_prod_volt_of_l1_l2__u_vac
[Hliatoras 474kWp Andravida] PCC Production voltage of L2-L3 (Vac),hlia_andr__474kwp__pcc_prod_volt_of_l2_l3__u_vac
[Hliatoras 474kWp Andravida] PCC Production voltage of L3-L1 (Vac),hlia_andr__474kwp__pcc_prod_volt_of_l3_l1__u_vac
[Hliatoras 474kWp Andravida] PCC Total Production active power (kW),hlia_andr__474kwp__pcc_tota_prod_acti_powe__u_kw
[Hliatoras 474kWp Andravida] PCC Total Production apparent power (kVA),hlia_andr__474kwp__pcc_tota_prod_appa_powe__u_kva
[Hliatoras 474kWp Andravida] PCC Total Production reactive power (kVAr),hlia_andr__474kwp__pcc_tota_prod_reac_powe__u_kvar
[Hliatoras 474kWp Andravida] Weather Station Ambient Temperature (C),hlia_andr__474kwp__weat_stat_ambi_temp__u_c
[Hliatoras 474kWp Andravida] Weather Station Wind Speed  (m*s^-1),hlia_andr__474kwp__weat_stat_wind_spee__u_m_s_1
[Kalamata_Asproxoma_1575kWp] PCC PCC Current THD-R of neutral (%),kala_aspr__1575kwp__pcc_curr_thd_r_of_neut__u_pct
[Kalamata_Asproxoma_1575kWp] PCC PCC Current THD-R of phase L1 (%),kala_aspr__1575kwp__pcc_curr_thd_r_of_phas_l1__u_pct
[Kalamata_Asproxoma_1575kWp] PCC PCC Current THD-R of phase L2 (%),kala_aspr__1575kwp__pcc_curr_thd_r_of_phas_l2__u_pct
[Kalamata_Asproxoma_1575kWp] PCC PCC Current THD-R of phase L3 (%),kala_aspr__1575kwp__pcc_curr_thd_r_of_phas_l3__u_pct
[Kalamata_Asproxoma_1575kWp] PCC PCC active energy export (kWh),kala_aspr__1575kwp__pcc_acti_ener_expo__u_kwh
[Kalamata_Asproxoma_1575kWp] PCC PCC active energy import (kWh),kala_aspr__1575kwp__pcc_acti_ener_impo__u_kwh
[Kalamata_Asproxoma_1575kWp] PCC PCC apparent energy (kVAh),kala_aspr__1575kwp__pcc_appa_ener__u_kvah
[Kalamata_Asproxoma_1575kWp] PCC PCC average current (A),kala_aspr__1575kwp__pcc_aver_curr__u_a
[Kalamata_Asproxoma_1575kWp] PCC PCC average line voltage (Vac),kala_aspr__1575kwp__pcc_aver_line_volt__u_vac
[Kalamata_Asproxoma_1575kWp] PCC PCC average phase voltage (Vac),kala_aspr__1575kwp__pcc_aver_phas_volt__u_vac
[Kalamata_Asproxoma_1575kWp] PCC PCC current of phase L1 (A),kala_aspr__1575kwp__pcc_curr_of_phas_l1__u_a
[Kalamata_Asproxoma_1575kWp] PCC PCC current of phase L2 (A),kala_aspr__1575kwp__pcc_curr_of_phas_l2__u_a
[Kalamata_Asproxoma_1575kWp] PCC PCC current of phase L3 (A),kala_aspr__1575kwp__pcc_curr_of_phas_l3__u_a
[Kalamata_Asproxoma_1575kWp] PCC PCC current unbalance of phase L1 (%),kala_aspr__1575kwp__pcc_curr_unba_of_phas_l1__u_pct
[Kalamata_Asproxoma_1575kWp] PCC PCC current unbalance of phase L2 (%),kala_aspr__1575kwp__pcc_curr_unba_of_phas_l2__u_pct
[Kalamata_Asproxoma_1575kWp] PCC PCC current unbalance of phase L3 (%),kala_aspr__1575kwp__pcc_curr_unba_of_phas_l3__u_pct
[Kalamata_Asproxoma_1575kWp] PCC PCC frequency (Hz),kala_aspr__1575kwp__pcc_freq__u_hz
[Kalamata_Asproxoma_1575kWp] PCC PCC power factor of phase L1 (-),kala_aspr__1575kwp__pcc_powe_fact_of_phas_l1__u_num
[Kalamata_Asproxoma_1575kWp] PCC PCC power factor of phase L2 (-),kala_aspr__1575kwp__pcc_powe_fact_of_phas_l2__u_num
[Kalamata_Asproxoma_1575kWp] PCC PCC power factor of phase L3 (-),kala_aspr__1575kwp__pcc_powe_fact_of_phas_l3__u_num
[Kalamata_Asproxoma_1575kWp] PCC PCC reactive energy export (kVArh),kala_aspr__1575kwp__pcc_reac_ener_expo__u_kvarh
[Kalamata_Asproxoma_1575kWp] PCC PCC reactive energy import (kVArh),kala_aspr__1575kwp__pcc_reac_ener_impo__u_kvarh
[Kalamata_Asproxoma_1575kWp] PCC PCC total power factor (-),kala_aspr__1575kwp__pcc_tota_powe_fact__u_num
[Kalamata_Asproxoma_1575kWp] PCC PCC voltage of L1-L2 (Vac),kala_aspr__1575kwp__pcc_volt_of_l1_l2__u_vac
[Kalamata_Asproxoma_1575kWp] PCC PCC voltage of L2-L3 (Vac),kala_aspr__1575kwp__pcc_volt_of_l2_l3__u_vac
[Kalamata_Asproxoma_1575kWp] PCC PCC voltage of L3-L1 (Vac),kala_aspr__1575kwp__pcc_volt_of_l3_l1__u_vac
[Kalamata_Asproxoma_1575kWp] PCC Production active energy export (kWh),kala_aspr__1575kwp__pcc_prod_acti_ener_expo__u_kwh
[Kalamata_Asproxoma_1575kWp] PCC Production active energy import (kWh),kala_aspr__1575kwp__pcc_prod_acti_ener_impo__u_kwh
[Kalamata_Asproxoma_1575kWp] PCC Production apparent energy (kVAh),kala_aspr__1575kwp__pcc_prod_appa_ener__u_kvah
[Kalamata_Asproxoma_1575kWp] PCC Production current of phase L1 (A),kala_aspr__1575kwp__pcc_prod_curr_of_phas_l1__u_a
[Kalamata_Asproxoma_1575kWp] PCC Production current of phase L2 (A),kala_aspr__1575kwp__pcc_prod_curr_of_phas_l2__u_a
[Kalamata_Asproxoma_1575kWp] PCC Production current of phase L3 (A),kala_aspr__1575kwp__pcc_prod_curr_of_phas_l3__u_a
[Kalamata_Asproxoma_1575kWp] PCC Production frequency (Hz),kala_aspr__1575kwp__pcc_prod_freq__u_hz
[Kalamata_Asproxoma_1575kWp] PCC Production reactive energy export (kVArh),kala_aspr__1575kwp__pcc_prod_reac_ener_expo__u_kvarh
[Kalamata_Asproxoma_1575kWp] PCC Production reactive energy import (kVArh),kala_aspr__1575kwp__pcc_prod_reac_ener_impo__u_kvarh
[Kalamata_Asproxoma_1575kWp] PCC Production total power factor (-),kala_aspr__1575kwp__pcc_prod_tota_powe_fact__u_num
[Kalamata_Asproxoma_1575kWp] PCC Total Production active power (kW),kala_aspr__1575kwp__pcc_tota_prod_acti_powe__u_kw
[Kalamata_Asproxoma_1575kWp] PCC Total Production apparent power (kVA),kala_aspr__1575kwp__pcc_tota_prod_appa_powe__u_kva
[Kalamata_Asproxoma_1575kWp] PCC Total Production reactive power (kVAr),kala_aspr__1575kwp__pcc_tota_prod_reac_powe__u_kvar
[Kalamata_Asproxoma_1575kWp] Weather Station 1 Ambient Temperature (C),kala_aspr__1575kwp__weat_stat_1_ambi_temp__u_c
[Kalamata_Asproxoma_1575kWp] Weather Station 1 Relative Humidity  (%),kala_aspr__1575kwp__weat_stat_1_rela_humi__u_pct
[Kalamata_Asproxoma_1575kWp] Weather Station 1 Wind Speed  (m*s^-1),kala_aspr__1575kwp__weat_stat_1_wind_spee__u_m_s_1
[Kalamata_Asproxoma_2131kWp] PCC PCC Current THD-R of neutral (%),kala_aspr__2131kwp__pcc_curr_thd_r_of_neut__u_pct
[Kalamata_Asproxoma_2131kWp] PCC PCC Current THD-R of phase L1 (%),kala_aspr__2131kwp__pcc_curr_thd_r_of_phas_l1__u_pct
[Kalamata_Asproxoma_2131kWp] PCC PCC Current THD-R of phase L2 (%),kala_aspr__2131kwp__pcc_curr_thd_r_of_phas_l2__u_pct
[Kalamata_Asproxoma_2131kWp] PCC PCC Current THD-R of phase L3 (%),kala_aspr__2131kwp__pcc_curr_thd_r_of_phas_l3__u_pct
[Kalamata_Asproxoma_2131kWp] PCC PCC active energy export (kWh),kala_aspr__2131kwp__pcc_acti_ener_expo__u_kwh
[Kalamata_Asproxoma_2131kWp] PCC PCC active energy import (kWh),kala_aspr__2131kwp__pcc_acti_ener_impo__u_kwh
[Kalamata_Asproxoma_2131kWp] PCC PCC apparent energy (kVAh),kala_aspr__2131kwp__pcc_appa_ener__u_kvah
[Kalamata_Asproxoma_2131kWp] PCC PCC average current (A),kala_aspr__2131kwp__pcc_aver_curr__u_a
[Kalamata_Asproxoma_2131kWp] PCC PCC average line voltage (Vac),kala_aspr__2131kwp__pcc_aver_line_volt__u_vac
[Kalamata_Asproxoma_2131kWp] PCC PCC average phase voltage (Vac),kala_aspr__2131kwp__pcc_aver_phas_volt__u_vac
[Kalamata_Asproxoma_2131kWp] PCC PCC current of phase L1 (A),kala_aspr__2131kwp__pcc_curr_of_phas_l1__u_a
[Kalamata_Asproxoma_2131kWp] PCC PCC current of phase L2 (A),kala_aspr__2131kwp__pcc_curr_of_phas_l2__u_a
[Kalamata_Asproxoma_2131kWp] PCC PCC current of phase L3 (A),kala_aspr__2131kwp__pcc_curr_of_phas_l3__u_a
[Kalamata_Asproxoma_2131kWp] PCC PCC current unbalance of phase L1 (%),kala_aspr__2131kwp__pcc_curr_unba_of_phas_l1__u_pct
[Kalamata_Asproxoma_2131kWp] PCC PCC current unbalance of phase L2 (%),kala_aspr__2131kwp__pcc_curr_unba_of_phas_l2__u_pct
[Kalamata_Asproxoma_2131kWp] PCC PCC current unbalance of phase L3 (%),kala_aspr__2131kwp__pcc_curr_unba_of_phas_l3__u_pct
[Kalamata_Asproxoma_2131kWp] PCC PCC frequency (Hz),kala_aspr__2131kwp__pcc_freq__u_hz
[Kalamata_Asproxoma_2131kWp] PCC PCC power factor of phase L1 (-),kala_aspr__2131kwp__pcc_powe_fact_of_phas_l1__u_num
[Kalamata_Asproxoma_2131kWp] PCC PCC power factor of phase L2 (-),kala_aspr__2131kwp__pcc_powe_fact_of_phas_l2__u_num
[Kalamata_Asproxoma_2131kWp] PCC PCC power factor of phase L3 (-),kala_aspr__2131kwp__pcc_powe_fact_of_phas_l3__u_num
[Kalamata_Asproxoma_2131kWp] PCC PCC reactive energy export (kVArh),kala_aspr__2131kwp__pcc_reac_ener_expo__u_kvarh
[Kalamata_Asproxoma_2131kWp] PCC PCC reactive energy import (kVArh),kala_aspr__2131kwp__pcc_reac_ener_impo__u_kvarh
[Kalamata_Asproxoma_2131kWp] PCC PCC total power factor (-),kala_aspr__2131kwp__pcc_tota_powe_fact__u_num
[Kalamata_Asproxoma_2131kWp] PCC PCC voltage of L1-L2 (Vac),kala_aspr__2131kwp__pcc_volt_of_l1_l2__u_vac
[Kalamata_Asproxoma_2131kWp] PCC PCC voltage of L2-L3 (Vac),kala_aspr__2131kwp__pcc_volt_of_l2_l3__u_vac
[Kalamata_Asproxoma_2131kWp] PCC PCC voltage of L3-L1 (Vac),kala_aspr__2131kwp__pcc_volt_of_l3_l1__u_vac
[Kalamata_Asproxoma_2131kWp] PCC Production active energy export (kWh),kala_aspr__2131kwp__pcc_prod_acti_ener_expo__u_kwh
[Kalamata_Asproxoma_2131kWp] PCC Production active energy import (kWh),kala_aspr__2131kwp__pcc_prod_acti_ener_impo__u_kwh
[Kalamata_Asproxoma_2131kWp] PCC Production current of phase L1 (A),kala_aspr__2131kwp__pcc_prod_curr_of_phas_l1__u_a
[Kalamata_Asproxoma_2131kWp] PCC Production current of phase L2 (A),kala_aspr__2131kwp__pcc_prod_curr_of_phas_l2__u_a
[Kalamata_Asproxoma_2131kWp] PCC Production current of phase L3 (A),kala_aspr__2131kwp__pcc_prod_curr_of_phas_l3__u_a
[Kalamata_Asproxoma_2131kWp] PCC Production frequency (Hz),kala_aspr__2131kwp__pcc_prod_freq__u_hz
[Kalamata_Asproxoma_2131kWp] PCC Production reactive energy export (kVArh),kala_aspr__2131kwp__pcc_prod_reac_ener_expo__u_kvarh
[Kalamata_Asproxoma_2131kWp] PCC Production reactive energy import (kVArh),kala_aspr__2131kwp__pcc_prod_reac_ener_impo__u_kvarh
[Kalamata_Asproxoma_2131kWp] PCC Production total power factor (-),kala_aspr__2131kwp__pcc_prod_tota_powe_fact__u_num
[Kalamata_Asproxoma_2131kWp] PCC Production voltage of L1-L2 (Vac),kala_aspr__2131kwp__pcc_prod_volt_of_l1_l2__u_vac
[Kalamata_Asproxoma_2131kWp] PCC Production voltage of L2-L3 (Vac),kala_aspr__2131kwp__pcc_prod_volt_of_l2_l3__u_vac
[Kalamata_Asproxoma_2131kWp] PCC Production voltage of L3-L1 (Vac),kala_aspr__2131kwp__pcc_prod_volt_of_l3_l1__u_vac
[Kalamata_Asproxoma_2131kWp] PCC Total Production active power (kW),kala_aspr__2131kwp__pcc_tota_prod_acti_powe__u_kw
[Kalamata_Asproxoma_2131kWp] PCC Total Production reactive power (kVAr),kala_aspr__2131kwp__pcc_tota_prod_reac_powe__u_kvar
[Kalamata_Asproxoma_2131kWp] Weather Station 1 Ambient temperature (C),kala_aspr__2131kwp__weat_stat_1_ambi_temp__u_c
[Kalamata_Asproxoma_2131kWp] Weather Station 1 Relative humidity (%),kala_aspr__2131kwp__weat_stat_1_rela_humi__u_pct
[Kalamata_Asproxoma_2131kWp] Weather Station 1 Wind speed (m*s^-1),kala_aspr__2131kwp__weat_stat_1_wind_spee__u_m_s_1
"[Ntarali_Bonitas_0,45MW] Ntarali_Bonitas_0,45MW Average Irradiance (W*m^-2)",ntar_boni__450kwp__aver_irra__u_w_m_2
"[Ntarali_Bonitas_0,45MW] PCC PCC Current THD-R of neutral (%)",ntar_boni__450kwp__pcc_curr_thd_r_of_neut__u_pct
"[Ntarali_Bonitas_0,45MW] PCC PCC Current THD-R of phase L1 (%)",ntar_boni__450kwp__pcc_curr_thd_r_of_phas_l1__u_pct
"[Ntarali_Bonitas_0,45MW] PCC PCC Current THD-R of phase L2 (%)",ntar_boni__450kwp__pcc_curr_thd_r_of_phas_l2__u_pct
"[Ntarali_Bonitas_0,45MW] PCC PCC Current THD-R of phase L3 (%)",ntar_boni__450kwp__pcc_curr_thd_r_of_phas_l3__u_pct
"[Ntarali_Bonitas_0,45MW] PCC PCC active energy export (kWh)",ntar_boni__450kwp__pcc_acti_ener_expo__u_kwh
"[Ntarali_Bonitas_0,45MW] PCC PCC active energy import (kWh)",ntar_boni__450kwp__pcc_acti_ener_impo__u_kwh
"[Ntarali_Bonitas_0,45MW] PCC PCC apparent energy (kVAh)",ntar_boni__450kwp__pcc_appa_ener__u_kvah
"[Ntarali_Bonitas_0,45MW] PCC PCC current of phase L1 (A)",ntar_boni__450kwp__pcc_curr_of_phas_l1__u_a
"[Ntarali_Bonitas_0,45MW] PCC PCC current of phase L2 (A)",ntar_boni__450kwp__pcc_curr_of_phas_l2__u_a
"[Ntarali_Bonitas_0,45MW] PCC PCC current of phase L3 (A)",ntar_boni__450kwp__pcc_curr_of_phas_l3__u_a
"[Ntarali_Bonitas_0,45MW] PCC PCC current unbalance of phase L1 (%)",ntar_boni__450kwp__pcc_curr_unba_of_phas_l1__u_pct
"[Ntarali_Bonitas_0,45MW] PCC PCC current unbalance of phase L2 (%)",ntar_boni__450kwp__pcc_curr_unba_of_phas_l2__u_pct
"[Ntarali_Bonitas_0,45MW] PCC PCC current unbalance of phase L3 (%)",ntar_boni__450kwp__pcc_curr_unba_of_phas_l3__u_pct
"[Ntarali_Bonitas_0,45MW] PCC PCC frequency (Hz)",ntar_boni__450kwp__pcc_freq__u_hz
"[Ntarali_Bonitas_0,45MW] PCC PCC power factor of phase L1 (-)",ntar_boni__450kwp__pcc_powe_fact_of_phas_l1__u_num
"[Ntarali_Bonitas_0,45MW] PCC PCC power factor of phase L2 (-)",ntar_boni__450kwp__pcc_powe_fact_of_phas_l2__u_num
"[Ntarali_Bonitas_0,45MW] PCC PCC power factor of phase L3 (-)",ntar_boni__450kwp__pcc_powe_fact_of_phas_l3__u_num
"[Ntarali_Bonitas_0,45MW] PCC PCC reactive energy export (kVArh)",ntar_boni__450kwp__pcc_reac_ener_expo__u_kvarh
"[Ntarali_Bonitas_0,45MW] PCC PCC reactive energy import (kVArh)",ntar_boni__450kwp__pcc_reac_ener_impo__u_kvarh
"[Ntarali_Bonitas_0,45MW] PCC PCC total power factor (-)",ntar_boni__450kwp__pcc_tota_powe_fact__u_num
"[Ntarali_Bonitas_0,45MW] PCC PCC voltage of L1-L2 (Vac)",ntar_boni__450kwp__pcc_volt_of_l1_l2__u_vac
"[Ntarali_Bonitas_0,45MW] PCC PCC voltage of L2-L3 (Vac)",ntar_boni__450kwp__pcc_volt_of_l2_l3__u_vac
"[Ntarali_Bonitas_0,45MW] PCC PCC voltage of L3-L1 (Vac)",ntar_boni__450kwp__pcc_volt_of_l3_l1__u_vac
"[Ntarali_Bonitas_0,45MW] PCC Production active energy export (kWh)",ntar_boni__450kwp__pcc_prod_acti_ener_expo__u_kwh
"[Ntarali_Bonitas_0,45MW] PCC Production active energy import (kWh)",ntar_boni__450kwp__pcc_prod_acti_ener_impo__u_kwh
"[Ntarali_Bonitas_0,45MW] PCC Production apparent energy (kVAh)",ntar_boni__450kwp__pcc_prod_appa_ener__u_kvah
"[Ntarali_Bonitas_0,45MW] PCC Production current of phase L1 (A)",ntar_boni__450kwp__pcc_prod_curr_of_phas_l1__u_a
"[Ntarali_Bonitas_0,45MW] PCC Production current of phase L2 (A)",ntar_boni__450kwp__pcc_prod_curr_of_phas_l2__u_a
"[Ntarali_Bonitas_0,45MW] PCC Production current of phase L3 (A)",ntar_boni__450kwp__pcc_prod_curr_of_phas_l3__u_a
"[Ntarali_Bonitas_0,45MW] PCC Production frequency (Hz)",ntar_boni__450kwp__pcc_prod_freq__u_hz
"[Ntarali_Bonitas_0,45MW] PCC Production reactive energy export (kVArh)",ntar_boni__450kwp__pcc_prod_reac_ener_expo__u_kvarh
"[Ntarali_Bonitas_0,45MW] PCC Production reactive energy import (kVArh)",ntar_boni__450kwp__pcc_prod_reac_ener_impo__u_kvarh
"[Ntarali_Bonitas_0,45MW] PCC Production total power factor (-)",ntar_boni__450kwp__pcc_prod_tota_powe_fact__u_num
"[Ntarali_Bonitas_0,45MW] PCC Production voltage of L1-L2 (Vac)",ntar_boni__450kwp__pcc_prod_volt_of_l1_l2__u_vac
"[Ntarali_Bonitas_0,45MW] PCC Production voltage of L2-L3 (Vac)",ntar_boni__450kwp__pcc_prod_volt_of_l2_l3__u_vac
"[Ntarali_Bonitas_0,45MW] PCC Production voltage of L3-L1 (Vac)",ntar_boni__450kwp__pcc_prod_volt_of_l3_l1__u_vac
"[Ntarali_Bonitas_0,45MW] PCC Total Production active power (kW)",ntar_boni__450kwp__pcc_tota_prod_acti_powe__u_kw
"[Ntarali_Bonitas_0,45MW] PCC Total Production apparent power (kVA)",ntar_boni__450kwp__pcc_tota_prod_appa_powe__u_kva
"[Ntarali_Bonitas_0,45MW] PCC Total Production reactive power (kVAr)",ntar_boni__450kwp__pcc_tota_prod_reac_powe__u_kvar
[Ntarali_Concept_296KW] Ntarali_Concept_296KW Average Irradiance (W*m^-2),ntar_conc__296kwp__aver_irra__u_w_m_2
[Ntarali_Concept_296KW] PCC PCC Current THD-R of neutral (%),ntar_conc__296kwp__pcc_curr_thd_r_of_neut__u_pct
[Ntarali_Concept_296KW] PCC PCC Current THD-R of phase L1 (%),ntar_conc__296kwp__pcc_curr_thd_r_of_phas_l1__u_pct
[Ntarali_Concept_296KW] PCC PCC Current THD-R of phase L2 (%),ntar_conc__296kwp__pcc_curr_thd_r_of_phas_l2__u_pct
[Ntarali_Concept_296KW] PCC PCC Current THD-R of phase L3 (%),ntar_conc__296kwp__pcc_curr_thd_r_of_phas_l3__u_pct
[Ntarali_Concept_296KW] PCC PCC active energy export (kWh),ntar_conc__296kwp__pcc_acti_ener_expo__u_kwh
[Ntarali_Concept_296KW] PCC PCC active energy import (kWh),ntar_conc__296kwp__pcc_acti_ener_impo__u_kwh
[Ntarali_Concept_296KW] PCC PCC apparent energy (kVAh),ntar_conc__296kwp__pcc_appa_ener__u_kvah
[Ntarali_Concept_296KW] PCC PCC average current (A),ntar_conc__296kwp__pcc_aver_curr__u_a
[Ntarali_Concept_296KW] PCC PCC average line voltage (Vac),ntar_conc__296kwp__pcc_aver_line_volt__u_vac
[Ntarali_Concept_296KW] PCC PCC average phase voltage (Vac),ntar_conc__296kwp__pcc_aver_phas_volt__u_vac
[Ntarali_Concept_296KW] PCC PCC current of phase L1 (A),ntar_conc__296kwp__pcc_curr_of_phas_l1__u_a
[Ntarali_Concept_296KW] PCC PCC current of phase L2 (A),ntar_conc__296kwp__pcc_curr_of_phas_l2__u_a
[Ntarali_Concept_296KW] PCC PCC current of phase L3 (A),ntar_conc__296kwp__pcc_curr_of_phas_l3__u_a
[Ntarali_Concept_296KW] PCC PCC current unbalance of phase L1 (%),ntar_conc__296kwp__pcc_curr_unba_of_phas_l1__u_pct
[Ntarali_Concept_296KW] PCC PCC current unbalance of phase L2 (%),ntar_conc__296kwp__pcc_curr_unba_of_phas_l2__u_pct
[Ntarali_Concept_296KW] PCC PCC current unbalance of phase L3 (%),ntar_conc__296kwp__pcc_curr_unba_of_phas_l3__u_pct
[Ntarali_Concept_296KW] PCC PCC frequency (Hz),ntar_conc__296kwp__pcc_freq__u_hz
[Ntarali_Concept_296KW] PCC PCC power factor of phase L1 (-),ntar_conc__296kwp__pcc_powe_fact_of_phas_l1__u_num
[Ntarali_Concept_296KW] PCC PCC power factor of phase L2 (-),ntar_conc__296kwp__pcc_powe_fact_of_phas_l2__u_num
[Ntarali_Concept_296KW] PCC PCC power factor of phase L3 (-),ntar_conc__296kwp__pcc_powe_fact_of_phas_l3__u_num
[Ntarali_Concept_296KW] PCC PCC reactive energy export (kVArh),ntar_conc__296kwp__pcc_reac_ener_expo__u_kvarh
[Ntarali_Concept_296KW] PCC PCC reactive energy import (kVArh),ntar_conc__296kwp__pcc_reac_ener_impo__u_kvarh
[Ntarali_Concept_296KW] PCC PCC total power factor (-),ntar_conc__296kwp__pcc_tota_powe_fact__u_num
[Ntarali_Concept_296KW] PCC PCC voltage of L1-L2 (Vac),ntar_conc__296kwp__pcc_volt_of_l1_l2__u_vac
[Ntarali_Concept_296KW] PCC PCC voltage of L2-L3 (Vac),ntar_conc__296kwp__pcc_volt_of_l2_l3__u_vac
[Ntarali_Concept_296KW] PCC PCC voltage of L3-L1 (Vac),ntar_conc__296kwp__pcc_volt_of_l3_l1__u_vac
[Ntarali_Concept_296KW] PCC Production active energy export (kWh),ntar_conc__296kwp__pcc_prod_acti_ener_expo__u_kwh
[Ntarali_Concept_296KW] PCC Production active energy import (kWh),ntar_conc__296kwp__pcc_prod_acti_ener_impo__u_kwh
[Ntarali_Concept_296KW] PCC Production apparent energy (kVAh),ntar_conc__296kwp__pcc_prod_appa_ener__u_kvah
[Ntarali_Concept_296KW] PCC Production current of phase L1 (A),ntar_conc__296kwp__pcc_prod_curr_of_phas_l1__u_a
[Ntarali_Concept_296KW] PCC Production current of phase L2 (A),ntar_conc__296kwp__pcc_prod_curr_of_phas_l2__u_a
[Ntarali_Concept_296KW] PCC Production current of phase L3 (A),ntar_conc__296kwp__pcc_prod_curr_of_phas_l3__u_a
[Ntarali_Concept_296KW] PCC Production frequency (Hz),ntar_conc__296kwp__pcc_prod_freq__u_hz
[Ntarali_Concept_296KW] PCC Production reactive energy export (kVArh),ntar_conc__296kwp__pcc_prod_reac_ener_expo__u_kvarh
[Ntarali_Concept_296KW] PCC Production reactive energy import (kVArh),ntar_conc__296kwp__pcc_prod_reac_ener_impo__u_kvarh
[Ntarali_Concept_296KW] PCC Production total power factor (-),ntar_conc__296kwp__pcc_prod_tota_powe_fact__u_num
[Ntarali_Concept_296KW] PCC Production voltage of L1-L2 (Vac),ntar_conc__296kwp__pcc_prod_volt_of_l1_l2__u_vac
[Ntarali_Concept_296KW] PCC Production voltage of L2-L3 (Vac),ntar_conc__296kwp__pcc_prod_volt_of_l2_l3__u_vac
[Ntarali_Concept_296KW] PCC Production voltage of L3-L1 (Vac),ntar_conc__296kwp__pcc_prod_volt_of_l3_l1__u_vac
[Ntarali_Concept_296KW] PCC Total Production active power (kW),ntar_conc__296kwp__pcc_tota_prod_acti_powe__u_kw
[Ntarali_Concept_296KW] PCC Total Production apparent power (kVA),ntar_conc__296kwp__pcc_tota_prod_appa_powe__u_kva
[Ntarali_Concept_296KW] PCC Total Production reactive power (kVAr),ntar_conc__296kwp__pcc_tota_prod_reac_powe__u_kvar
[Ntarali_Concept_296KW] Weather Station Ambient temperature (C),ntar_conc__296kwp__weat_stat_ambi_temp__u_c
[Ntarali_Concept_296KW] Weather Station Relative humidity (%),ntar_conc__296kwp__weat_stat_rela_humi__u_pct
[Ntarali_Concept_320KW] Ntarali_Concept_320KW Average Irradiance (W*m^-2),ntar_conc__320kwp__aver_irra__u_w_m_2
[Ntarali_Concept_320KW] PCC PCC active energy export (kWh),ntar_conc__320kwp__pcc_acti_ener_expo__u_kwh
[Ntarali_Concept_320KW] PCC PCC active energy import (kWh),ntar_conc__320kwp__pcc_acti_ener_impo__u_kwh
[Ntarali_Concept_320KW] PCC PCC apparent energy (kVAh),ntar_conc__320kwp__pcc_appa_ener__u_kvah
[Ntarali_Concept_320KW] PCC PCC average line voltage (Vac),ntar_conc__320kwp__pcc_aver_line_volt__u_vac
[Ntarali_Concept_320KW] PCC PCC current of phase L1 (A),ntar_conc__320kwp__pcc_curr_of_phas_l1__u_a
[Ntarali_Concept_320KW] PCC PCC current of phase L2 (A),ntar_conc__320kwp__pcc_curr_of_phas_l2__u_a
[Ntarali_Concept_320KW] PCC PCC current of phase L3 (A),ntar_conc__320kwp__pcc_curr_of_phas_l3__u_a
[Ntarali_Concept_320KW] PCC PCC frequency (Hz),ntar_conc__320kwp__pcc_freq__u_hz
[Ntarali_Concept_320KW] PCC PCC reactive energy export (kVArh),ntar_conc__320kwp__pcc_reac_ener_expo__u_kvarh
[Ntarali_Concept_320KW] PCC PCC reactive energy import (kVArh),ntar_conc__320kwp__pcc_reac_ener_impo__u_kvarh
[Ntarali_Concept_320KW] PCC PCC total power factor (-),ntar_conc__320kwp__pcc_tota_powe_fact__u_num
