original,sanitized
[Fragiatoula_Utilitas_4866kWp] PCC PCC reactive energy export (kVArh),frag_util__4866kwp__pcc_reac_ener_expo__u_kvarh
[Fragiatoula_Utilitas_4866kWp] PCC PCC reactive energy import (kVArh),frag_util__4866kwp__pcc_reac_ener_impo__u_kvarh
[Fragiatoula_Utilitas_4866kWp] PCC PCC total power factor (-),frag_util__4866kwp__pcc_tota_powe_fact__u_num
[Fragiatoula_Utilitas_4866kWp] PCC PCC voltage of L1-L2 (Vac),frag_util__4866kwp__pcc_volt_of_l1_l2__u_vac
[Fragiatoula_Utilitas_4866kWp] PCC PCC voltage of L2-L3 (Vac),frag_util__4866kwp__pcc_volt_of_l2_l3__u_vac
[Fragiatoula_Utilitas_4866kWp] PCC PCC voltage of L3-L1 (Vac),frag_util__4866kwp__pcc_volt_of_l3_l1__u_vac
[Fragiatoula_Utilitas_4866kWp] PCC Production active energy export (kWh),frag_util__4866kwp__pcc_prod_acti_ener_expo__u_kwh
[Fragiatoula_Utilitas_4866kWp] PCC Production active energy import (kWh),frag_util__4866kwp__pcc_prod_acti_ener_impo__u_kwh
[Fragiatoula_Utilitas_4866kWp] PCC Production current of phase L1 (A),frag_util__4866kwp__pcc_prod_curr_of_phas_l1__u_a
[Fragiatoula_Utilitas_4866kWp] PCC Production current of phase L2 (A),frag_util__4866kwp__pcc_prod_curr_of_phas_l2__u_a
[Fragiatoula_Utilitas_4866kWp] PCC Production current of phase L3 (A),frag_util__4866kwp__pcc_prod_curr_of_phas_l3__u_a
[Fragiatoula_Utilitas_4866kWp] PCC Production frequency (Hz),frag_util__4866kwp__pcc_prod_freq__u_hz
[Fragiatoula_Utilitas_4866kWp] PCC Production reactive energy export (kVArh),frag_util__4866kwp__pcc_prod_reac_ener_expo__u_kvarh
[Fragiatoula_Utilitas_4866kWp] PCC Production reactive energy import (kVArh),frag_util__4866kwp__pcc_prod_reac_ener_impo__u_kvarh
[Fragiatoula_Utilitas_4866kWp] PCC Production total power factor (-),frag_util__4866kwp__pcc_prod_tota_powe_fact__u_num
[Fragiatoula_Utilitas_4866kWp] PCC Production voltage of L1-L2 (Vac),frag_util__4866kwp__pcc_prod_volt_of_l1_l2__u_vac
